Karma,score,author
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
4160,0,SeDve
1,1,notoriouslyfastsloth
5049,0,FoolStack
1,0,nan
1362,0,chakan2
1,0,Voy74656
1113,1,CryptoR615
315,0,The_real_bandito
18,1,punkbasse
655,0,jonshipman
456,0,_matlock_
1702,1,arthursucks
3554,1,nanothief
26275,0,pk023029
1,1,Linux4ever_Leo
1,0,nan
1214,0,Ambrotos42
4243,0,teamcoyotes1
6922,0,EmbarrassedActive4
43,1,paolab79
3821,1,sturmblast
210,0,OppositeMeasurement
324,0,Naveen_E_
2888,0,Vikulik123_CZ
140,0,Aemony
3457,1,raidraidraid
2,1,Obi_Sirius
1,0,nan
1,0,nan
1977,0,CloseThePodBayDoors
1,0,nan
221,0,yesdaniel
693,0,KevinCarbonara
912,0,CoskCuckSyggorf
19852,1,Redbird9346
5688,0,AE74Fj73
89,0,disturbedme
4629,1,ChiefKraut
3806,0,blatantninja
1269,0,mailboy79
4377,0,Boogertwilliams
4377,0,Boogertwilliams
25,1,JustXuX
243,0,kwendland73
10699,0,Reckless_Waifu
18161,0,gahd95
7147,0,dr1ftm3
10505,0,rogellparadox
1,1,Red_rum_mur_deR
161,0,theansweris3
8953,0,jojo_31
18,0,sora_imperial
12840,0,Kamichiko
541,1,BpjuRCXyiga7Wy9q
12811,0,cadtek
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1541,0,Skindkort
1,0,nan
9081,0,rawnak0
134,0,society_man_420
482,0,ficklecurmudgeon
3405,0,openhighapart
10,0,MyITthrowaway24
665,0,MintStim
2566,0,scarystuff
3090,0,tunaman808
7147,0,iDareToBeMyself
6176,0,Kranke
77,0,Senliast
2134,0,silverfang789
3234,0,SillyLilBear
1,0,Bowiemtl1
560,0,1saidy
436,1,FixTechStuff
365,0,Moonwalker2005
16418,0,Kanaric
13635,0,QushAes
6409,0,mathiasfriman
841,0,zero0n3
1525,0,ctm-8400
856,0,rcentros
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
23584,0,AirPhforce
856,0,rcentros
5830,0,EldestPort
50,0,mark__fuckerberg
1,0,Linux4ever_Leo
1436,0,melvintwj
541,0,BpjuRCXyiga7Wy9q
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
856,0,rcentros
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
